Topic,Count,Name,Representation,Aspect1,Aspect2,Representative_Docs
57,6,57_grippers_gripper_gripperjaws_machinery,"['grippers', 'gripper', 'gripperjaws', 'machinery', 'equipment', 'welders', 'presses', 'jaws', 'resonators', 'motor']","['grippers', 'process', 'welders', 'capacity', 'jaws', 'chamfers', 'gripper', 'magnetic', 'tolerances', 'components']","['grippers', 'equipment', 'welders', 'presses', 'resonators', 'motor', 'compliance', 'chamfers', 'laser', 'nonmagnetic']","['to support pick-and-place operations, process gripper jaws must be equipped with chamfers, sufficient to allow for part position tolerances of 0.5 mm in all directions and angular tolerances of up to 2∞ if design constraints do not allow for chamfers, compliance devices must be used.', 'gripper jaws will be of wear resistant material (heat treated or otherwise hardened) or wear coated when handling magnetic product components (electric motor components) grippers will be non-magnetic stainless steel grippers must support all product features in danger of being deformed through the assembly process.', 'all process equipment shall operate in a process band of 30% - 80% of rated capacity this means a pressing operating expected to operate between 450 n and 800 n must have a capacity (maximum usable force) between 1.0000 n and 1.0500 n process equipment includes nut runners, presses, resistance welders, vibratory welders, spin welders, test equipment, monitoring equipment, etc. exception - laser resonators that shall operate in a process band of 35% - 65% of rated capacity.']"
58,6,58_aec_audits_design_setup,"['aec', 'audits', 'design', 'setup', 'equipment', 'services', 'training', 'project', 'management', 'production']","['project', 'onsite', 'production', 'startup', 'design', 'technician', 'weekly', 'audits', 'reconnection', 'job']","['aec', 'audits', 'equipment', 'management', 'standards', 'technician', 'utilities', 'shall', 'instructions', 'debugging']","[' During the project life span weekly audits shall be performed internally by the AEC to verify the project is within design control boundaries . ', ' The AEC shall also include one week of onsite production assistance including one AEC technician onsite to train operators on the job. ', ' The AEC shall provide an installation drawing and setup instructions and once the machine has been positioned in place and utilities have been brought to the machine AEC personnel shall be available for the following functions of reconnection to in house services system startup debugging and operator training and initial production startup. ']"
59,6,59_languagepreferredcomponentdef_unicode_unicodeset_languagepreferredlist,"['languagepreferredcomponentdef', 'unicode', 'unicodeset', 'languagepreferredlist', 'componentdef', 'language', 'syntax', 'notation', 'byte', 'code']","['element', 'code', 'character', 'language', 'prefix', 'point', 'sequence', 'elements', 'hexadecimal', 'digits']","['languagepreferredcomponentdef', 'unicode', 'languagepreferredlist', 'syntax', 'u4e00', 'elements', 'scalar', 'preference', 'cfr', 'digit']","[""Required. The 'LanguagePreferredComponentDef' element contains a single 'Language' element and one or more 'ComponentDef' elements. If the same 'ComponentDef' element is meant to serve more than one language, multiple instances of the 'LanguagePreferredComponentDef' element may be specified."", ""The user's language setting determines which 'LanguagePreferredComponentDef' element to use first, and when a character that is not supported by the font specified by that 'LanguagePreferredComponentDef' element is encountered, the ordering of the 'LanguagePreferredComponentDef' elements is significant, and the first 'LanguagePreferredComponentDef' element that supports the character is used."", ""An arbitrary character code or character code sequence that is specified by the '0x' prefix followed by multiples of two hexadecimal digits whereby each two hexadecimal digits represent a single byte. If a Unicode code point or Unicode code point sequence is used, it should be specified according to ICU's UnicodeSet pattern syntax""]"
60,6,60_transfer_table_pipe_tubing,"['transfer', 'table', 'pipe', 'tubing', 'length', 'welded', 'spanning', 'rail', 'structural', 'spaced']","['table', 'transfer', 'feet', 'inch', 'next', 'inches', 'walls', 'quarter', 'length', 'rail']","['transfer', 'table', 'tubing', 'welded', 'spanning', 'rail', 'structural', 'lifted', 'six', 'assemblies']","[' Each transfer table shall be constructed of welded two inch by six inch structural tubing with quarter inch walls. ', ' Each transfer table shall have a length ranging between four feet nine inches and fourteen feet nine inches. ', ' There shall be seven rail assemblies spaced approximately six and one half feet apart and spanning the length of the transfer table. ']"
61,6,61_protocol_api_requesturi_payload,"['protocol', 'api', 'requesturi', 'payload', 'oicres', 'devices', 'device', 'cloud', 'ocf', 'token']","['request', 'response', 'batch', 'array', 'payload', 'protocol', 'analogous', 'proximal', 'definition', 'retrieval']","['protocol', 'api', 'requesturi', 'payload', 'oicres', 'devices', 'retrieve', 'bearer', 'contentbase', 'resources']","['An Origin Cloud shall include unaltered in the requestURI of the request sent to the Target Cloud any query parameters received over the Device to Cloud connection', 'If the request includes ""content=all"" (analogous to a batch retrieval of /oic/res in the proximal network) then the response payload shall be as defined for ""content=base"" with the exception that instead of an array of Links to the hosted Resources, the response payload shall include an array of the representations of the Resources themselves that are exposed for each Device that is available. This is illustrated in the examples provided for the Device API in Annex B. See also the definition of a batch response in ISO/IEC 30118-1', 'A request to this API may be invoked by the Origin Cloud on completion of account linking. Where the Origin Cloud supports the behaviour defined in OCF Device to Cloud Services this may also be invoked by reception of a RETRIEVE to ""/oic/res"" of the OCF Cloud Resource Directory from an OCF Client']"
62,6,62_spindles_spindle_bearings_shafts,"['spindles', 'spindle', 'bearings', 'shafts', 'shafting', 'shaft', 'axis', 'orientation', 'design', 'alignment']","['spindles', 'hand', 'spindle', 'shaft', 'type', 'pillow', 'shafts', 'bearings', 'expansion', 'installation']","['spindle', 'bearings', 'alignment', 'loader', 'axis1000', 'cantilevered', 'angular', 'supplier', 'bobbin', 'erpb']","['The spindles shall be cantilevered live shaft design and heavy duty construction with two fixed bearings at one end The diameter and grade of steel shafting for spindle shafts shall be selected to minimize deflection under full bobbin weight at the unsupported end.', 'Equipment bearings shall be Morse ìSeal Masterî type RPB and ERPB selected for a minimum B-10 life of 150,000 hours at design loads and speed Where appropriate, the Supplier shall provide for thermal expansion and contraction of rolls and shafts by utilizing a pillow block of the ìnon-expansionî RPB type on one side of the shaft and a pillow block of the ìexpansionî ERPB type on the opposite side of the shaft.', 'The center frame section shall have two (2) rows of spindles, one (1) right hand and one (1) left hand orientation The outside sections shall be a single row of spindles, one left hand and one right hand orientation The spindle loading ends shall face the aisle way between frame sections and each other.']"
63,6,63_iec62305_lightning_iec_lighting,"['iec62305', 'lightning', 'iec', 'lighting', 'protection', 'dsh', 'shielded', 'lpz', 'lpl', 'protect']","['lightning', 'protection', 'structure', 'indirect', 'earth', 'flashes', 'accordance', 'lighting', 'direct', 'current']","['lightning', 'iec', 'lpz', 'protect', 'flashes', 'conduct', 'shall', 'equipment', 'subelements', 'indirect']","['The DSH Element Lightning Protection System shall protect sub-elements against lighting flashes in accordance to IEC62305 LPL III.', 'The DSH Element Lightning Protection System shall dissipate the lightning current into the earth in accordance to IEC62305 LPL III.', 'The DSH Element Lightning Protection System shall conduct the lightning current to earth in accordance to IEC62305 LPL III.']"
64,6,64_stations_station_pallet_project,"['stations', 'station', 'pallet', 'project', 'components', 'design', 'base', 'parallel', 'throughput', 'table']","['pallet', 'stations', 'number', 'project', 'throughput', 'bottleneck', 'minimal', 'calculation', 'station', 'overall']","['stations', 'pallet', 'components', 'parallel', 'throughput', 'table', 'calculation', 'pierburg', 'serial', 'switches25']","[' The project shall incorporate a common station base design. ', 'the number of pallet shall not become a bottleneck for the overall throughput the minimal number of pallet is: (number of serial stations + number of parallel stations + number of pallet switches)*2.5 a detailed calculation should be discussed with pierburg.', 'two pallet before all other stations.']"
65,6,65_lift_paddle_pipe_box,"['lift', 'paddle', 'pipe', 'box', 'station', 'roll', 'end', 'lower', 'off', 'blast']","['lift', 'paddle', 'box', 'end', 'dope', 'pipe', 'stop', 'station', 'blast', 'drift']","['lift', 'paddle', 'pipe', 'box', 'roll', 'end', 'off', 'blast', 'vrollers', 'dope']","[' Each box end pipe dope station shall have a paddle lift. ', ' Each box end end blast station paddle lift shall lift the pipe off of the fixed pipe stop and the pipe shall roll against the stop on the paddle lift. ', ' Each box end pipe dope station paddle lift shall lift the pipe off of the fixed pipe stop and the pipe shall roll against the stop on the paddle lift. ']"
66,6,66_cspmidcbf_frequency_bandwidth_channels,"['cspmidcbf', 'frequency', 'bandwidth', 'channels', 'channel', 'resolution', 'channelaverage', '80db', 'crosscorrelation', 'tuning']","['channel', 'frequency', 'zoom', 'adjacent', 'visibility', 'correlation', 'bandwidth', 'center', 'processor', 'visibilities']","['cspmidcbf', 'frequency', 'channelaverage', 'crosscorrelation', 'centroid', 'flaggingqualified', 'sdp', 'baseline', 'zoom', 'subarrays']","['CSP_Mid.CBF shall, for any Frequency Slice Processor performing the Correlation function, for each visibility channel output, calculate and output, in the format specified in the SDP to CSP ICD, a corresponding Channel Centroid Index. The Channel Centroid Index defines the flagging-qualified effective relative visibility channel center frequency over the range of -0.5 to +0.5 of its channel bandwidth.', ""Each CSP_Mid.CBF cross-correlation and auto-correlation visibility channel transition band within any Band's processed bandwidth shall be monotonically decreasing, in any region above -60 dB, from the channel edge to the immediately adjacent channel center frequency and having an amplitude response of - 3.01 +/-0.01 dB at the channel edge to -80dB or better at the immediately adjacent channel center frequency. Note: applies to both zoom and non-zoom visibilities."", 'When commanded, CSP_Mid.CBF shall, for each subarray in each Frequency Slice processor configured for Correlation independently, channel-average visibilities, independently in each of at least 20 equal frequency partitions across the Frequency Slice or Zoom Window, with at least channel averaging factors of 0, 1, 2, 3, 4, 6, and 8, and restricted to averaging adjacent channels only.']"
